ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Pongro,KH220304,,,,Chong Kal,KH2203,Oddar Meanchey,KH22,Cambodia,KH,292.6104126
Pongro Kraom,KH170408,,,,Chi Kraeng,KH1704,Siemreap,KH17,Cambodia,KH,124.1482315
Pongro Leu,KH170409,,,,Chi Kraeng,KH1704,Siemreap,KH17,Cambodia,KH,383.5467529
Ponhea Lueu,KH080907,,,,Ponhea Lueu,KH0809,Kandal,KH08,Cambodia,KH,10.1972084
Ponhea Pon,KH121102,,,,Praek Pnov,KH1211,Phnom Penh,KH12,Cambodia,KH,18.80802536
Ponley,KH010303,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,119.749649
Ponley,KH040110,,,,Baribour,KH0401,Kampong Chhnang,KH04,Cambodia,KH,6.186859608
Ponley,KH210104,,,,Angkor Borei,KH2101,Takeo,KH21,Cambodia,KH,54.3896637
Ponsang,KH121105,,,,Praek Pnov,KH1211,Phnom Penh,KH12,Cambodia,KH,37.88640213
Popeaet,KH200705,,,,Svay Teab,KH2007,Svay Rieng,KH20,Cambodia,KH,41.85513306
Popel,KH040109,,,,Baribour,KH0401,Kampong Chhnang,KH04,Cambodia,KH,27.95898628
Popel,KH171108,,,,Soutr Nikom,KH1711,Siemreap,KH17,Cambodia,KH,75.00439453
Popel,KH210909,,,,Tram Kak,KH2109,Takeo,KH21,Cambodia,KH,22.92961693
Popel,KH250506,,,,Ponhea Kraek,KH2505,Tboung Khmum,KH25,Cambodia,KH,35.93624878
Popok,KH060808,,,,Stoung,KH0608,Kampong Thom,KH06,Cambodia,KH,314.4441833
Popueus,KH141307,,,,Svay Antor,KH1413,Prey Veng,KH14,Cambodia,KH,24.16636086
Pot Sar,KH210210,,,,Bati,KH2102,Takeo,KH21,Cambodia,KH,37.72334671
Pou,KH040405,,,,Kampong Leaeng,KH0404,Kampong Chhnang,KH04,Cambodia,KH,90.56197357
Pou,KH130704,,,,Tbaeng Mean Chey,KH1307,Preah Vihear,KH13,Cambodia,KH,123.5514069
Pou Angkrang,KH050107,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,33.43444061
Pou Chamraeun,KH050108,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,28.49816132
Pou Mreal,KH050109,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,49.49431992
Pou Rieng,KH141101,,,,Pur Rieng,KH1411,Prey Veng,KH14,Cambodia,KH,61.19453049
